Sample;20ms_raw;freilaufend_raw;Mittelwert_20ms;Mittelwert_freilaufend;20ms;freilaufend
235;211875;187879;213254.6729;187665.6733;-1379.672852;213.3266602
236;211847;187830;213254.6729;187665.6733;-1407.672852;164.3266602
237;211926;187873;213254.6729;187665.6733;-1328.672852;207.3266602
238;211993;187822;213254.6729;187665.6733;-1261.672852;156.3266602
239;211965;187830;213254.6729;187665.6733;-1289.672852;164.3266602
240;212015;187757;213254.6729;187665.6733;-1239.672852;91.32666016
241;212028;187765;213254.6729;187665.6733;-1226.672852;99.32666016
242;212140;187697;213254.6729;187665.6733;-1114.672852;31.32666016
243;212059;187780;213254.6729;187665.6733;-1195.672852;114.3266602
244;212100;187811;213254.6729;187665.6733;-1154.672852;145.3266602
245;212165;187821;213254.6729;187665.6733;-1089.672852;155.3266602
246;212146;187803;213254.6729;187665.6733;-1108.672852;137.3266602
247;212098;187787;213254.6729;187665.6733;-1156.672852;121.3266602
248;212173;187752;213254.6729;187665.6733;-1081.672852;86.32666016
249;212242;187699;213254.6729;187665.6733;-1012.672852;33.32666016
250;212155;187780;213254.6729;187665.6733;-1099.672852;114.3266602
251;212149;187962;213254.6729;187665.6733;-1105.672852;296.3266602
252;212165;187936;213254.6729;187665.6733;-1089.672852;270.3266602
253;212312;187945;213254.6729;187665.6733;-942.6728516;279.3266602
254;212261;187890;213254.6729;187665.6733;-993.6728516;224.3266602
255;212294;187898;213254.6729;187665.6733;-960.6728516;232.3266602
